Nome,Descrição,Contato,WebSite,Impacto,Endereço,Tipo
Ilustre - Automação e Iluminação,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3221-1250",Não informado,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Manoel Goulart, 1820",lamp-collection
Eletrosul,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3221-5050",eletrosul.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Manoel Goulart, 1900",lamp-collection
Eletrosul - Centro,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3221-5050",eletrosul.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Barão do Rio Branco, 125",lamp-collection
Carrefour,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,carrefour.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Manoel Goulart, 2400",lamp-collection
Muffato (Av. Salim Farah Maluf),"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermuffato.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Salim Farah Maluf, 170",lamp-collection
Muffato (Rua Siqueira Campos),"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermuffato.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Rua Siqueira Campos, 1545",lamp-collection
Muffato Max Guanabara,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermuffato.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Av. Pres. Juscelino Kubitschek, 7764",lamp-collection
Sam S Club,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,samsclub.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Av. Salim Farah Maluf, 17",lamp-collection
Atacadão,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,atacadao.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","R. Antônio Rota, 855 - Jardim Vale do Sol",lamp-collection
Força e Luz,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3907-7400",Não informado,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Coronel José Soares Marcondes, 4599",lamp-collection
Força e Luz - matriz,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3907-7400",Não informado,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Av. Antonio Canhetti, 693 - Jd Cambuy",lamp-collection
Assaí Presidente Prudente,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,assai.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Joaquim Constantino, 3025",lamp-collection
Supermercados Estrela (Av. Oswaldo da Silva),"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermercadosestrela.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Oswaldo da Silva, 609",lamp-collection
Supermercados Estrela (Av. Cel. José Soares Marcondes),"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermercadosestrela.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Coronel José Soares Marcondes, 1750",lamp-collection
Telhanorte,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,telhanorte.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Manoel Goulart, 3560",lamp-collection
WY Materiais Elétricos,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3907-2700",Não informado,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Avenida Coronel José Soares Marcondes, 3255",lamp-collection
Braçofer,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.","(18) 3903-8888",Não informado,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","R. Mariano Arenales Benito, 1001 - Dist. Industrial",lamp-collection
Kalunga,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,kalunga.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Av. Manoel Goulart, 1428 - Vila Santa Helena",lamp-collection
Supermercado Amigão,"Ponto de coleta para descarte correto de lâmpadas, contribuindo para a redução de resíduos perigosos e a promoção da reciclagem.",Consultar local ou site da empresa.,supermercadoamigao.com.br,"Coleta de resíduos perigosos; Reciclagem de materiais; Redução de contaminação ambiental.","Av. Joaquim Constantino, 1896 - Vl. Formosa",lamp-collection
